10,9.94E+08,3.93E+08,6.04E+08,9.69E+05,2.37E+05
20,9.90E+08,3.90E+08,5.81E+08,1.94E+06,2.24E+05
30,9.82E+08,3.88E+08,5.81E+08,2.98E+06,2.27E+05
40,9.86E+08,3.91E+08,5.84E+08,4.01E+06,2.23E+05
50,9.88E+08,3.91E+08,5.87E+08,5.02E+06,2.25E+05
60,9.95E+08,3.91E+08,5.84E+08,6.02E+06,2.23E+05
70,9.91E+08,3.89E+08,5.84E+08,6.96E+06,2.25E+05
80,9.87E+08,3.89E+08,5.82E+08,7.96E+06,2.24E+05
90,9.89E+08,3.90E+08,5.83E+08,8.87E+06,2.27E+05
100,9.84E+08,3.87E+08,5.82E+08,9.87E+06,2.22E+05
200,9.85E+08,3.89E+08,5.84E+08,1.96E+07,2.25E+05
2002,9.84E+08,3.88E+08,5.81E+08,1.09E+09,4414
